"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","8/19/2015 08:05:01 - 8/19/2015 12:05:01"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"8/19/2015","08:05:01","446880.00","183245.00","171230.0000","52136.0000","37357.0000","197515.0000","508266.0000","6233.0000","480285.0000","4577770.00","7823730","21900","2476400","0","7801770","630122.00","1453021","2476400.00","6.2499e+007","0.00"
"8/19/2015","08:10:01","446883.00","183246.00","171234.0000","52136.0000","37359.0000","197521.0000","508279.0000","6233.0000","480297.0000","4577770.00","7823800","21900","2476400","0","7801770","630122.00","1453021","2476400.00","6.2499e+007","0.00"
"8/19/2015","08:15:01","446886.00","183247.00","171234.0000","52136.0000","37359.0000","197521.0000","508279.0000","6233.0000","480297.0000","4577770.00","7823860","21900","2476400","0","7801960","630133.00","1453076","2476400.00","6.2499e+007","0.00"
"8/19/2015","08:20:01","446889.00","183249.00","171237.0000","52137.0000","37361.0000","197526.0000","508292.0000","6234.0000","480310.0000","4577770.00","7823920","21900","2476400","0","7801960","630133.00","1453076","2476400.00","6.2499e+007","0.00"
"8/19/2015","08:25:01","446892.00","183250.00","171237.0000","52137.0000","37361.0000","197526.0000","508292.0000","6234.0000","480310.0000","4577770.00","7823990","21900","2476400","0","7801960","630133.00","1453076","2476400.00","6.2499e+007","0.00"
"8/19/2015","08:30:01","446896.00","183252.00","171241.0000","52137.0000","37362.0000","197530.0000","508305.0000","6234.0000","480325.0000","4577800.00","7824080","21900","2476900","0","7802180","630148.00","1453133","2476900.00","6.2499e+007","6673.11"
"8/19/2015","08:35:01","446900.00","183253.00","171241.0000","52137.0000","37362.0000","197530.0000","508305.0000","6234.0000","480325.0000","4577920.00","7824170","21900","2476900","0","7802180","630148.00","1453133","2476900.00","6.2499e+007","6673.11"
"8/19/2015","08:40:01","446904.00","183255.00","171245.0000","52137.0000","37364.0000","197535.0000","508318.0000","6234.0000","480340.0000","4578030.00","7824270","21900","2476900","0","7802180","630148.00","1453133","2476900.00","6.2499e+007","8828.44"
"8/19/2015","08:45:01","446909.00","183257.00","171245.0000","52137.0000","37364.0000","197535.0000","508318.0000","6234.0000","480340.0000","4578150.00","7824370","21900","2476900","0","7802470","630166.00","1453191","2476900.00","6.2501e+007","8828.44"
"8/19/2015","08:50:01","446914.00","183259.00","171249.0000","52137.0000","37366.0000","197541.0000","508331.0000","6234.0000","480354.0000","4578260.00","7824470","21900","2476900","0","7802470","630166.00","1453191","2476900.00","6.2501e+007","7919.32"
