"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","12/30/2015 08:05:03 - 12/30/2015 12:05:03"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"12/30/2015","08:05:03","536285.00","220403.00","234729.0000","69103.0000","54787.0000","275783.0000","687773.0000","8573.0000","674859.0000","6313140.00","10650900","30260","3498000","0","1.06205e+007","756688.00","2005607","3498000.00","8.6597e+007","0.00"
"12/30/2015","08:10:03","536285.00","220403.00","234733.0000","69103.0000","54788.0000","275787.0000","687782.0000","8573.0000","674870.0000","6313140.00","10651070","30260","3498000","0","1.06205e+007","756688.00","2005607","3498000.00","8.6597e+007","0.00"
"12/30/2015","08:15:03","536285.00","220403.00","234733.0000","69103.0000","54788.0000","275787.0000","687782.0000","8573.0000","674870.0000","6313140.00","10651250","30260","3498100","0","1.0621e+007","756688.00","2005650","3498100.00","8.6597e+007","0.00"
"12/30/2015","08:20:03","536285.00","220403.00","234737.0000","69103.0000","54790.0000","275792.0000","687791.0000","8573.0000","674880.0000","6313140.00","10651430","30260","3498100","0","1.0621e+007","756688.00","2005650","3498100.00","8.6597e+007","0.00"
"12/30/2015","08:25:03","536285.00","220403.00","234737.0000","69103.0000","54790.0000","275792.0000","687791.0000","8573.0000","674880.0000","6313140.00","10651590","30260","3498100","0","1.0621e+007","756688.00","2005650","3498100.00","8.6597e+007","0.00"
"12/30/2015","08:30:03","536285.00","220403.00","234741.0000","69103.0000","54792.0000","275798.0000","687800.0000","8573.0000","674889.0000","6313140.00","10651740","30260","3498300","0","1.06215e+007","756688.00","2005696","3498300.00","8.6597e+007","0.00"
"12/30/2015","08:35:03","536285.00","220403.00","234741.0000","69103.0000","54792.0000","275798.0000","687800.0000","8573.0000","674889.0000","6313140.00","10651880","30260","3498300","0","1.06215e+007","756688.00","2005696","3498300.00","8.6597e+007","0.00"
"12/30/2015","08:40:03","536285.00","220403.00","234745.0000","69103.0000","54794.0000","275803.0000","687809.0000","8573.0000","674899.0000","6313140.00","10652020","30260","3498300","0","1.06215e+007","756688.00","2005696","3498300.00","8.6597e+007","0.00"
"12/30/2015","08:45:03","536285.00","220403.00","234745.0000","69103.0000","54794.0000","275803.0000","687809.0000","8573.0000","674899.0000","6313140.00","10652160","30260","3498300","0","1.06219e+007","756688.00","2005740","3498300.00","8.6597e+007","0.00"
"12/30/2015","08:50:03","536285.00","220403.00","234749.0000","69104.0000","54795.0000","275808.0000","687817.0000","8574.0000","674908.0000","6313140.00","10652290","30260","3498300","0","1.06219e+007","756688.00","2005740","3498300.00","8.6597e+007","0.00"
"12/30/2015","08:55:03","536285.00","220403.00","234749.0000","69104.0000","54795.0000","275808.0000","687817.0000","8574.0000","674908.0000","6313140.00","10652430","30260","3498300","0","1.06219e+007","756688.00","2005740","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:00:03","536285.00","220403.00","234752.0000","69104.0000","54797.0000","275814.0000","687826.0000","8574.0000","674918.0000","6313140.00","10652560","30260","3498300","0","1.06223e+007","756688.00","2005785","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:05:03","536285.00","220403.00","234752.0000","69104.0000","54797.0000","275814.0000","687826.0000","8574.0000","674918.0000","6313140.00","10652680","30260","3498300","0","1.06223e+007","756688.00","2005785","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:10:03","536285.00","220403.00","234756.0000","69104.0000","54799.0000","275819.0000","687835.0000","8574.0000","674928.0000","6313140.00","10652820","30260","3498300","0","1.06223e+007","756688.00","2005785","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:15:03","536285.00","220403.00","234756.0000","69104.0000","54799.0000","275819.0000","687835.0000","8574.0000","674928.0000","6313140.00","10652960","30260","3498300","0","1.06227e+007","756688.00","2005830","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:20:03","536284.00","220403.00","234760.0000","69104.0000","54801.0000","275826.0000","687844.0000","8574.0000","674938.0000","6313140.00","10653130","30260","3498300","0","1.06227e+007","756688.00","2005830","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:25:03","536284.00","220403.00","234760.0000","69104.0000","54801.0000","275826.0000","687844.0000","8574.0000","674938.0000","6313140.00","10653300","30260","3498300","0","1.06227e+007","756688.00","2005830","3498300.00","8.6597e+007","0.00"
"12/30/2015","09:30:03","536284.00","220403.00","234764.0000","69104.0000","54802.0000","275832.0000","687853.0000","8574.0000","674948.0000","6313140.00","10653470","30270","3498400","0","1.06232e+007","756687.00","2005877","3498400.00","8.6597e+007","0.00"
"12/30/2015","09:35:03","536284.00","220403.00","234764.0000","69104.0000","54802.0000","275832.0000","687853.0000","8574.0000","674948.0000","6313140.00","10653620","30270","3498400","0","1.06232e+007","756687.00","2005877","3498400.00","8.6597e+007","0.00"
"12/30/2015","09:40:03","536284.00","220403.00","234768.0000","69104.0000","54804.0000","275838.0000","687862.0000","8574.0000","674958.0000","6313140.00","10653760","30270","3498400","0","1.06232e+007","756687.00","2005877","3498400.00","8.6597e+007","0.00"
"12/30/2015","09:45:03","536284.00","220403.00","234768.0000","69104.0000","54804.0000","275838.0000","687862.0000","8574.0000","674958.0000","6313140.00","10653910","30270","3498400","0","1.06236e+007","756687.00","2005923","3498400.00","8.6597e+007","0.00"
"12/30/2015","09:50:03","536284.00","220403.00","234771.0000","69104.0000","54806.0000","275844.0000","687871.0000","8575.0000","674968.0000","6313140.00","10654040","30270","3498400","0","1.06236e+007","756687.00","2005923","3498400.00","8.6597e+007","0.00"
"12/30/2015","09:55:03","536284.00","220403.00","234771.0000","69104.0000","54806.0000","275844.0000","687871.0000","8575.0000","674968.0000","6313140.00","10654180","30270","3498400","0","1.06236e+007","756687.00","2005923","3498400.00","8.6597e+007","0.00"
