"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","1/30/2016 20:05:09 - 1/31/2016 00:05:09"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"1/30/2016","20:05:09","538370.00","221656.00","250053.0000","72895.0000","59184.0000","296047.0000","716828.0000","9136.0000","716724.0000","6486830.00","11570840","32890","3562800","0","1.15379e+007","760026.00","2120867","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:10:09","538370.00","221656.00","250056.0000","72895.0000","59186.0000","296051.0000","716833.0000","9136.0000","716734.0000","6486830.00","11570930","32890","3562800","0","1.15379e+007","760026.00","2120867","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:15:09","538370.00","221656.00","250056.0000","72895.0000","59186.0000","296051.0000","716833.0000","9136.0000","716734.0000","6486830.00","11571020","32890","3562800","0","1.15381e+007","760026.00","2120904","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:20:09","538370.00","221656.00","250059.0000","72896.0000","59188.0000","296056.0000","716839.0000","9136.0000","716744.0000","6486830.00","11571110","32890","3562800","0","1.15381e+007","760026.00","2120904","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:25:09","538370.00","221656.00","250059.0000","72896.0000","59188.0000","296056.0000","716839.0000","9136.0000","716744.0000","6486830.00","11571200","32890","3562800","0","1.15381e+007","760026.00","2120904","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:30:09","538370.00","221656.00","250062.0000","72896.0000","59189.0000","296059.0000","716844.0000","9136.0000","716754.0000","6486830.00","11571290","32890","3562800","0","1.15384e+007","760026.00","2120940","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:35:09","538370.00","221656.00","250062.0000","72896.0000","59189.0000","296059.0000","716844.0000","9136.0000","716754.0000","6486830.00","11571380","32890","3562800","0","1.15384e+007","760026.00","2120940","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:40:09","538370.00","221656.00","250065.0000","72896.0000","59191.0000","296063.0000","716849.0000","9136.0000","716764.0000","6486830.00","11571470","32890","3562800","0","1.15384e+007","760026.00","2120940","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:45:09","538370.00","221656.00","250065.0000","72896.0000","59191.0000","296063.0000","716849.0000","9136.0000","716764.0000","6486830.00","11571560","32890","3562800","0","1.15387e+007","760026.00","2120976","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:50:09","538370.00","221656.00","250068.0000","72896.0000","59193.0000","296067.0000","716854.0000","9136.0000","716772.0000","6486830.00","11571660","32890","3562800","0","1.15387e+007","760026.00","2120976","3562800.00","8.8787e+007","0.00"
"1/30/2016","20:55:09","538370.00","221656.00","250068.0000","72896.0000","59193.0000","296067.0000","716854.0000","9136.0000","716772.0000","6486830.00","11571750","32890","3562800","0","1.15387e+007","760026.00","2120976","3562800.00","8.8787e+007","0.00"
"1/30/2016","21:00:09","538370.00","221656.00","250072.0000","72896.0000","59194.0000","296070.0000","716860.0000","9136.0000","716781.0000","6486830.00","11571840","32890","3562800","0","1.1539e+007","760026.00","2121009","3562800.00","8.8787e+007","0.00"
"1/30/2016","21:05:09","538370.00","221656.00","250072.0000","72896.0000","59194.0000","296070.0000","716860.0000","9136.0000","716781.0000","6486830.00","11571940","32890","3562800","0","1.1539e+007","760026.00","2121009","3562800.00","8.8787e+007","0.00"
"1/30/2016","21:10:09","538370.00","221656.00","250075.0000","72896.0000","59196.0000","296075.0000","716865.0000","9136.0000","716790.0000","6486830.00","11572030","32890","3562800","0","1.1539e+007","760026.00","2121009","3562800.00","8.8787e+007","0.00"
"1/30/2016","21:15:09","538370.00","221656.00","250075.0000","72896.0000","59196.0000","296075.0000","716865.0000","9136.0000","716790.0000","6486830.00","11572120","32890","3562800","0","1.15392e+007","760026.00","2121043","3562800.00","8.8787e+007","0.00"
"1/30/2016","21:20:09","538370.00","221656.00","250077.0000","72896.0000","59198.0000","296079.0000","716870.0000","9136.0000","716799.0000","6486830.00","11572210","32890","3562800","0","1.15392e+007","760026.00","2121043","3562800.00","8.8787e+007","0.00"
