"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","8/11/2015 08:05:04 - 8/11/2015 12:05:04"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"8/11/2015","08:05:04","435660.00","178693.00","167517.0000","50947.0000","36455.0000","192982.0000","493510.0000","6088.0000","462336.0000","4390610.00","7685550","21540","2341600","0","7663940","614351.00","1409835","2341600.00","5.9987e+007","1679.74"
"8/11/2015","08:10:04","435662.00","178693.00","167521.0000","50948.0000","36455.0000","192987.0000","493524.0000","6088.0000","462351.0000","4390730.00","7685610","21540","2341600","0","7663940","614351.00","1409835","2341600.00","5.9987e+007","4219.14"
"8/11/2015","08:15:04","435664.00","178694.00","167521.0000","50948.0000","36455.0000","192987.0000","493524.0000","6088.0000","462351.0000","4390850.00","7685680","21540","2341800","0","7664140","614358.00","1409894","2341800.00","5.9988e+007","4219.14"
"8/11/2015","08:20:04","435665.00","178695.00","167525.0000","50950.0000","36455.0000","192992.0000","493538.0000","6088.0000","462366.0000","4390960.00","7685740","21540","2341800","0","7664140","614358.00","1409894","2341800.00","5.9988e+007","7168.93"
"8/11/2015","08:25:04","435667.00","178695.00","167525.0000","50950.0000","36455.0000","192992.0000","493538.0000","6088.0000","462366.0000","4391080.00","7685810","21550","2341800","0","7664140","614358.00","1409894","2341800.00","5.9988e+007","7168.93"
"8/11/2015","08:30:04","435669.00","178696.00","167529.0000","50952.0000","36455.0000","192996.0000","493552.0000","6088.0000","462382.0000","4391200.00","7685870","21550","2342100","0","7664320","614365.00","1409954","2342100.00","5.9989e+007","5241.31"
"8/11/2015","08:35:04","435671.00","178697.00","167529.0000","50952.0000","36455.0000","192996.0000","493552.0000","6088.0000","462382.0000","4391320.00","7685930","21550","2342100","0","7664320","614365.00","1409954","2342100.00","5.9989e+007","5241.31"
"8/11/2015","08:40:04","435673.00","178698.00","167534.0000","50953.0000","36456.0000","193001.0000","493566.0000","6089.0000","462398.0000","4391440.00","7686000","21550","2342100","0","7664320","614365.00","1409954","2342100.00","5.9989e+007","5726.62"
"8/11/2015","08:45:04","435677.00","178699.00","167534.0000","50953.0000","36456.0000","193001.0000","493566.0000","6089.0000","462398.0000","4391550.00","7686060","21550","2342100","0","7664510","614376.00","1410016","2342100.00","5.999e+007","5726.62"
"8/11/2015","08:50:04","435680.00","178701.00","167537.0000","50955.0000","36456.0000","193007.0000","493580.0000","6089.0000","462413.0000","4391670.00","7686130","21550","2342100","0","7664510","614376.00","1410016","2342100.00","5.999e+007","1720.63"
"8/11/2015","08:55:04","435688.00","178704.00","167537.0000","50955.0000","36456.0000","193007.0000","493580.0000","6089.0000","462413.0000","4391790.00","7686190","21550","2342100","0","7664510","614376.00","1410016","2342100.00","5.999e+007","1720.63"
"8/11/2015","09:00:04","435697.00","178708.00","167542.0000","50956.0000","36456.0000","193011.0000","493596.0000","6089.0000","462428.0000","4391910.00","7686250","21550","2342100","0","7664700","614405.00","1410076","2342100.00","5.9991e+007","6085.81"
"8/11/2015","09:05:04","435705.00","178711.00","167542.0000","50956.0000","36456.0000","193011.0000","493596.0000","6089.0000","462428.0000","4392030.00","7686320","21550","2342100","0","7664700","614405.00","1410076","2342100.00","5.9991e+007","6085.81"
"8/11/2015","09:10:04","435713.00","178714.00","167545.0000","50958.0000","36456.0000","193016.0000","493611.0000","6089.0000","462444.0000","4392140.00","7686390","21550","2342100","0","7664700","614405.00","1410076","2342100.00","5.9991e+007","4835.06"
"8/11/2015","09:15:04","435722.00","178718.00","167545.0000","50958.0000","36456.0000","193016.0000","493611.0000","6089.0000","462444.0000","4392260.00","7686450","21550","2342200","0","7664900","614440.00","1410140","2342200.00","5.9992e+007","4835.06"
"8/11/2015","09:20:04","435727.00","178720.00","167550.0000","50959.0000","36456.0000","193020.0000","493627.0000","6090.0000","462459.0000","4392380.00","7686520","21550","2342200","0","7664900","614440.00","1410140","2342200.00","5.9992e+007","4726.27"
