"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","9/30/2015 20:05:09 - 10/1/2015 00:05:09"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"9/30/2015","20:05:09","494347.00","202638.00","191255.0000","57694.0000","42731.0000","221790.0000","579243.0000","7009.0000","553847.0000","5456430.00","8596180","24090","3152800","0","8572020","696985.00","1653569","3152800.00","7.4573e+007","1890.86"
"9/30/2015","20:10:09","494347.00","202638.00","191258.0000","57695.0000","42733.0000","221794.0000","579253.0000","7009.0000","553859.0000","5456550.00","8596240","24090","3152800","0","8572020","696985.00","1653569","3152800.00","7.4573e+007","6066.50"
"9/30/2015","20:15:09","494347.00","202638.00","191258.0000","57695.0000","42733.0000","221794.0000","579253.0000","7009.0000","553859.0000","5456670.00","8596300","24090","3152800","0","8572210","696985.00","1653616","3152800.00","7.4574e+007","6066.50"
"9/30/2015","20:20:09","494347.00","202638.00","191261.0000","57695.0000","42735.0000","221798.0000","579263.0000","7009.0000","553871.0000","5456780.00","8596370","24090","3152800","0","8572210","696985.00","1653616","3152800.00","7.4574e+007","1850.87"
"9/30/2015","20:25:09","494347.00","202638.00","191261.0000","57695.0000","42735.0000","221798.0000","579263.0000","7009.0000","553871.0000","5456900.00","8596370","24090","3152800","0","8572210","696985.00","1653616","3152800.00","7.4574e+007","1850.87"
"9/30/2015","20:30:09","494347.00","202638.00","191264.0000","57695.0000","42736.0000","221801.0000","579274.0000","7009.0000","553884.0000","5457020.00","8596440","24090","3152900","0","8572350","696985.00","1653663","3152900.00","7.4575e+007","1802.79"
"9/30/2015","20:35:09","494347.00","202638.00","191264.0000","57695.0000","42736.0000","221801.0000","579274.0000","7009.0000","553884.0000","5457140.00","8596500","24090","3152900","0","8572350","696985.00","1653663","3152900.00","7.4575e+007","1802.79"
"9/30/2015","20:40:09","494347.00","202638.00","191267.0000","57695.0000","42738.0000","221806.0000","579285.0000","7010.0000","553897.0000","5457250.00","8596570","24090","3152900","0","8572350","696985.00","1653663","3152900.00","7.4575e+007","2433.87"
"9/30/2015","20:45:09","494347.00","202638.00","191267.0000","57695.0000","42738.0000","221806.0000","579285.0000","7010.0000","553897.0000","5457370.00","8596630","24090","3153200","0","8572540","696985.00","1653714","3153200.00","7.4575e+007","2433.87"
"9/30/2015","20:50:09","494347.00","202638.00","191270.0000","57696.0000","42740.0000","221810.0000","579297.0000","7010.0000","553909.0000","5457490.00","8596700","24090","3153200","0","8572540","696985.00","1653714","3153200.00","7.4575e+007","2083.27"
