"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","BAC_227080_AI_35","","5 minutes"
"Point_2:","BAC_227081_AI_35","","5 minutes"
"Point_3:","PSB.PWR.1CLDPA","","10 minutes"
"Point_4:","PSB.PWR.2CHDPA","","10 minutes"
"Point_5:","PSB.PWR.2HDPA","","10 minutes"
"Point_6:","PSB.PWR.2LDPA","","10 minutes"
"Point_7:","PSB.PWR.4CMCCA","","10 minutes"
"Point_8:","PSB.PWR.4DPELV","","10 minutes"
"Point_9:","PSB.PWR.4MCCA","","10 minutes"
"Point_10:","PSB.SLR.BTU:AV_2","","5 minutes"
"Point_11:","PSB.SNG.MTR","","5 minutes"
"Point_12:","PSB.TNG.MTR","","5 minutes"
"Point_13:","PSB.P2.WMTR1","","15 minutes"
"Point_14:","PSB.P2.WMTR2","","15 minutes"
"Point_15:","PSB.BLDG.GAS","","15 minutes"
"Point_16:","PSB.BLDG.PVPWR","","15 minutes"
"Point_17:","PSB.BLDG.PWR","","15 minutes"
"Point_18:","PSB.BLDG.WTR","","15 minutes"
"Point_19:","PSB.SLR.BTU:AV_1","","15 minutes"
"Point_20:","PSB.SLR.BTU:Energy Rate","","10 minutes"
"Time Interval:","5 Minutes"
"Date Range:","1/13/2016 20:05:05 - 1/14/2016 00:05:05"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20"
"1/13/2016","20:05:05","536154.00","220459.00","241828.0000","70971.0000","56679.0000","285147.0000","703145.0000","8828.0000","694531.0000","6367240.00","11135740","31510","3526900","0","1.11042e+007","756613.00","2061129","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:10:05","536154.00","220459.00","241831.0000","70971.0000","56681.0000","285152.0000","703151.0000","8828.0000","694540.0000","6367240.00","11135810","31510","3526900","0","1.11042e+007","756613.00","2061129","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:15:05","536154.00","220459.00","241831.0000","70971.0000","56681.0000","285152.0000","703151.0000","8828.0000","694540.0000","6367240.00","11135910","31510","3526900","0","1.11044e+007","756613.00","2061166","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:20:05","536154.00","220459.00","241834.0000","70971.0000","56682.0000","285156.0000","703157.0000","8828.0000","694549.0000","6367240.00","11136020","31510","3526900","0","1.11044e+007","756613.00","2061166","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:25:05","536154.00","220459.00","241834.0000","70971.0000","56682.0000","285156.0000","703157.0000","8828.0000","694549.0000","6367240.00","11136150","31510","3526900","0","1.11044e+007","756613.00","2061166","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:30:05","536154.00","220459.00","241837.0000","70972.0000","56684.0000","285161.0000","703163.0000","8828.0000","694559.0000","6367240.00","11136300","31510","3526900","0","1.11048e+007","756613.00","2061204","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:35:05","536154.00","220459.00","241837.0000","70972.0000","56684.0000","285161.0000","703163.0000","8828.0000","694559.0000","6367240.00","11136460","31510","3526900","0","1.11048e+007","756613.00","2061204","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:40:05","536154.00","220459.00","241841.0000","70972.0000","56686.0000","285165.0000","703169.0000","8828.0000","694568.0000","6367240.00","11136610","31510","3526900","0","1.11048e+007","756613.00","2061204","3526900.00","8.7226e+007","0.00"
"1/13/2016","20:45:05","536154.00","220459.00","241841.0000","70972.0000","56686.0000","285165.0000","703169.0000","8828.0000","694568.0000","6367240.00","11136740","31510","3527200","0","1.11052e+007","756613.00","2061241","3527200.00","8.7226e+007","0.00"
"1/13/2016","20:50:05","536154.00","220459.00","241844.0000","70972.0000","56687.0000","285169.0000","703175.0000","8828.0000","694578.0000","6367240.00","11136860","31520","3527200","0","1.11052e+007","756613.00","2061241","3527200.00","8.7226e+007","0.00"
"1/13/2016","20:55:05","536154.00","220459.00","241844.0000","70972.0000","56687.0000","285169.0000","703175.0000","8828.0000","694578.0000","6367240.00","11136980","31520","3527200","0","1.11052e+007","756613.00","2061241","3527200.00","8.7226e+007","0.00"
"1/13/2016","21:00:05","536154.00","220459.00","241847.0000","70972.0000","56689.0000","285174.0000","703181.0000","8828.0000","694587.0000","6367240.00","11137090","31520","3527200","0","1.11056e+007","756613.00","2061278","3527200.00","8.7226e+007","0.00"
"1/13/2016","21:05:05","536154.00","220459.00","241847.0000","70972.0000","56689.0000","285174.0000","703181.0000","8828.0000","694587.0000","6367240.00","11137200","31520","3527200","0","1.11056e+007","756613.00","2061278","3527200.00","8.7226e+007","0.00"
"1/13/2016","21:10:05","536154.00","220459.00","241851.0000","70972.0000","56691.0000","285178.0000","703187.0000","8829.0000","694597.0000","6367240.00","11137300","31520","3527200","0","1.11056e+007","756613.00","2061278","3527200.00","8.7226e+007","0.00"
