# STATION: WBB,,,,,,,,,,,,,,,,
# STATION NAME: U of U William Browning Building,,,,,,,,,,,,,,,,
# LATITUDE: 40.76623,,,,,,,,,,,,,,,,
# LONGITUDE: -111.84755,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 4806,,,,,,,,,,,,,,,,
# STATE: UT,,,,,,,,,,,,,,,,
,,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
Station_ID,Date_Time,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,06/01/2015 00:00 MDT,85014,25.94,14.89,2.71,113.3,3.82,,13.03,0,,-2.73,,ESE,,101444.8
WBB,06/01/2015 00:05 MDT,85014,25.77,14.76,3.13,121.8,4.02,,12.97,0,,-2.99,,ESE,,101444.8
WBB,06/01/2015 00:10 MDT,85014,26.04,14.67,3.22,114,4.41,,12.96,0,,-2.85,,ESE,,101444.8
WBB,06/01/2015 00:15 MDT,85012,25.77,14.87,4.35,88.4,5.29,,13.03,0,,-2.89,,E,,101442.41
WBB,06/01/2015 00:20 MDT,85016,25.9,15.01,3.01,117.1,4.02,,12.97,0,,-2.66,,ESE,,101447.19
WBB,06/01/2015 00:25 MDT,85016,25.91,14.42,3.63,91.3,4.9,,13.01,0,,-3.18,,E,,101447.19
WBB,06/01/2015 00:30 MDT,85017,26.49,13.88,4.03,91.8,5.59,,13.03,0,,-3.22,,E,,101448.38
WBB,06/01/2015 00:35 MDT,85015,26.42,13.72,4.18,109.6,6.47,,13.03,0,,-3.43,,ESE,,101445.99
WBB,06/01/2015 00:40 MDT,85015,26.48,13.79,3.63,109.2,5.29,,12.97,0,,-3.32,,ESE,,101445.99
WBB,06/01/2015 00:45 MDT,85013,26.03,14.25,4.26,104,5.2,,13.03,0,,-3.24,,ESE,,101443.61
WBB,06/01/2015 00:50 MDT,85012,25.9,14.62,3.84,95.9,5,,12.97,0,,-3.01,,E,,101442.41
WBB,06/01/2015 00:55 MDT,85015,25.77,14.51,4.27,100.9,5.68,,12.96,0,,-3.21,,E,,101445.99
WBB,06/01/2015 01:00 MDT,85015,25.8,14.47,4.62,103,6.27,,13.03,0,,-3.23,,ESE,,101445.99
WBB,06/01/2015 01:05 MDT,85016,25.7,14.59,3.74,99.1,5,,12.95,0,,-3.2,,E,,101447.19
WBB,06/01/2015 01:10 MDT,85016,25.77,14.68,3.36,90.6,4.51,,12.96,0,,-3.06,,E,,101447.19
WBB,06/01/2015 01:15 MDT,85016,25.75,14.47,3.16,107.3,5.2,,13.03,0,,-3.27,,ESE,,101447.19
WBB,06/01/2015 01:20 MDT,85014,25.86,14.08,3.8,97.8,4.6,,13.03,0,,-3.54,,E,,101444.8
WBB,06/01/2015 01:25 MDT,85014,26.16,13.77,3.77,97.8,5.88,,12.97,0,,-3.59,,E,,101444.8
WBB,06/01/2015 01:30 MDT,85014,25.89,14.23,3.68,101.2,5.49,,13,0,,-3.38,,E,,101444.8
WBB,06/01/2015 01:35 MDT,85015,26.1,13.66,3.44,102.1,5.2,,12.98,0,,-3.75,,ESE,,101445.99
WBB,06/01/2015 01:40 MDT,85014,25.37,14.92,2.88,106.5,5.39,,13.04,0,,-3.17,,ESE,,101444.8
WBB,06/01/2015 01:45 MDT,85012,25.53,14.38,3.5,115.1,5.09,,13.04,0,,-3.53,,ESE,,101442.41
WBB,06/01/2015 01:50 MDT,85012,25.39,14.88,4.07,93.2,5.39,,13.04,0,,-3.19,,E,,101442.41
WBB,06/01/2015 01:55 MDT,85007,25.12,15.22,3.59,89.4,5.49,,12.97,0,,-3.1,,E,,101436.45
WBB,06/01/2015 02:00 MDT,85005,25.43,14.87,3.71,82.7,4.8,,13.04,0,,-3.16,,E,,101434.06
WBB,06/01/2015 02:05 MDT,85002,25.04,15.68,3.75,89.8,6.08,,13.04,0,,-2.77,,E,,101430.48
WBB,06/01/2015 02:10 MDT,84991,25.19,14.94,4.29,90.6,7.35,,12.98,0,,-3.29,,E,,101417.35
WBB,06/01/2015 02:15 MDT,84989,25.55,14.65,3.62,91,5.49,,13.04,0,,-3.26,,E,,101414.97
WBB,06/01/2015 02:20 MDT,84987,25.03,15.4,4.47,86.1,6.27,,13.04,0,,-3.02,,E,,101412.58
WBB,06/01/2015 02:25 MDT,84985,24.95,15.19,4.92,87.8,6.56,,12.97,0,,-3.27,,E,,101410.19
WBB,06/01/2015 02:30 MDT,84987,24.88,15.44,4.09,91.1,5.39,,13.04,0,,-3.11,,E,,101412.58
WBB,06/01/2015 02:35 MDT,84985,25.01,15.06,5.58,90,7.25,,13.01,0,,-3.33,,E,,101410.19
WBB,06/01/2015 02:40 MDT,84988,24.97,15.11,4.5,91.8,6.17,,12.98,0,,-3.32,,E,,101413.77
WBB,06/01/2015 02:45 MDT,84989,25.09,14.96,4.19,93.7,5.49,,13.04,0,,-3.36,,E,,101414.97
WBB,06/01/2015 02:50 MDT,84986,24.93,15.02,5.09,97.2,6.27,,13.04,0,,-3.43,,E,,101411.39
WBB,06/01/2015 02:55 MDT,84984,25.12,14.68,3.97,99.4,6.37,,12.98,0,,-3.58,,E,,101409
WBB,06/01/2015 03:00 MDT,84984,25.07,14.79,4.37,98.5,5.59,,13.04,0,,-3.53,,E,,101409
WBB,06/01/2015 03:05 MDT,84981,24.84,15.09,4.56,94.4,5.78,,12.99,0,,-3.45,,E,,101405.42
WBB,06/01/2015 03:10 MDT,84978,25.4,14.33,4.22,90.7,5.68,,13.05,0,,-3.68,,E,,101401.84
WBB,06/01/2015 03:15 MDT,84977,25.09,14.76,4.16,94.5,5.29,,13.04,0,,-3.54,,E,,101400.65
WBB,06/01/2015 03:20 MDT,84977,25.22,14.72,3.72,86.4,4.8,,12.99,0,,-3.47,,E,,101400.65
WBB,06/01/2015 03:25 MDT,84980,25.11,14.87,3.72,89.2,4.7,,12.97,0,,-3.42,,E,,101404.23
WBB,06/01/2015 03:30 MDT,84984,25.01,15.01,3.89,89.5,5,,13.05,0,,-3.38,,E,,101409
WBB,06/01/2015 03:35 MDT,84985,24.91,15.33,3.18,86.7,4.41,,12.98,0,,-3.18,,E,,101410.19
WBB,06/01/2015 03:40 MDT,84978,24.99,15.02,3.89,86.5,5.68,,12.98,0,,-3.39,,E,,101401.84
WBB,06/01/2015 03:45 MDT,84973,25.06,14.81,4.48,91.4,5.88,,13.05,0,,-3.52,,E,,101395.88
WBB,06/01/2015 03:50 MDT,84979,24.53,15.82,2.14,106.2,3.92,,13,0,,-3.07,,ESE,,101403.03
WBB,06/01/2015 03:55 MDT,84984,24.57,15.25,2.33,91.3,4.02,,12.97,0,,-3.52,,E,,101409
WBB,06/01/2015 04:00 MDT,84991,23.02,21.2,1.9,303.5,3.23,,13.05,0,,-0.37,,WNW,,101417.35
WBB,06/01/2015 04:05 MDT,84992,21.79,22.94,1.98,289.4,2.84,,13,0,,-0.33,,WNW,,101418.55
WBB,06/01/2015 04:10 MDT,84992,21.23,24.81,0.91,272.5,1.76,,12.99,0,,0.27,,W,,101418.55
WBB,06/01/2015 04:20 MDT,84983,21.33,22.81,2.05,54.12,2.94,,13,0,,-0.8,,NE,,101407.81
WBB,06/01/2015 04:25 MDT,84976,22.38,20.2,2.22,51.57,3.04,,13.01,0,,-1.57,,NE,,101399.46
WBB,06/01/2015 04:30 MDT,84965,23.03,18.01,2.12,103.8,4.9,,13.07,0,,-2.57,,ESE,,101386.33
WBB,06/01/2015 04:35 MDT,84960,23.83,17.48,3.37,83.6,5.59,,13,0,,-2.31,,E,,101380.36
WBB,06/01/2015 04:40 MDT,84962,23.63,17.83,3.27,107,5.39,,13.02,0,,-2.21,,ESE,,101382.75
WBB,06/01/2015 04:45 MDT,84957,24.18,16.19,3.9,92.5,4.8,,13.07,0,,-3.05,,E,,101376.78
WBB,06/01/2015 04:50 MDT,84956,24.21,16.22,3.67,87.3,4.8,,13.07,0,,-3,,E,,101375.59
WBB,06/01/2015 04:55 MDT,84953,24.2,16.01,3.75,82.2,4.6,,12.99,0,,-3.18,,E,,101372.01
WBB,06/01/2015 05:00 MDT,84955,24.33,15.82,4.17,90.8,5.09,,13,0,,-3.23,,E,,101374.4
WBB,06/01/2015 05:05 MDT,84963,24.37,15.66,3.53,92,4.51,,13,0,,-3.34,,E,,101383.94
WBB,06/01/2015 05:10 MDT,84968,24.03,16.28,2.79,96.4,4.21,,13,0,,-3.1,,E,,101389.91
WBB,06/01/2015 05:15 MDT,84977,23.71,17.35,1.76,80.3,3.04,,13.07,0,,-2.51,,E,,101400.65
WBB,06/01/2015 05:20 MDT,84990,22.01,22.41,1.52,226.1,2.55,,13.07,0,,-0.47,,SW,,101416.16
WBB,06/01/2015 05:25 MDT,84993,21.16,23.93,0.85,182.5,1.37,,13.01,0,,-0.29,,S,,101419.74
WBB,06/01/2015 05:30 MDT,85000,20.58,25.98,0.57,154.4,1.28,,13.07,0,,0.34,,SSE,,101428.09
WBB,06/01/2015 05:35 MDT,84994,20.64,23.99,1.83,39.09,2.35,,13.02,0,,-0.7,,NE,,101420.93
WBB,06/01/2015 05:40 MDT,84992,21.87,20.43,1.72,34.47,2.94,,13.04,0,,-1.84,,NE,,101418.55
WBB,06/01/2015 05:45 MDT,84993,22.71,19.49,2.21,64.64,3.04,,13.08,0.24,,-1.77,,ENE,,101419.74
WBB,06/01/2015 05:50 MDT,84999,23.06,19.47,2.66,79.35,3.53,,13.09,0.68,,-1.5,,E,,101426.9
WBB,06/01/2015 05:55 MDT,84997,23.24,18.96,2.63,80.5,3.23,,13.02,1.53,,-1.71,,E,,101424.51
WBB,06/01/2015 06:00 MDT,84996,23.39,17.99,3.15,84,4.21,,13.09,1.74,,-2.29,,E,,101423.32
WBB,06/01/2015 06:05 MDT,85001,23.64,17.38,3.24,93.7,4.21,,13.09,2.77,,-2.54,,E,,101429.29
WBB,06/01/2015 06:10 MDT,85001,23.55,17.78,3.63,87.6,4.31,,13.02,4.81,,-2.31,,E,,101429.29
WBB,06/01/2015 06:15 MDT,85003,23.75,17.36,3.65,94.3,4.31,,13.09,7.02,,-2.47,,E,,101431.67
WBB,06/01/2015 06:20 MDT,85005,23.76,17.34,3.87,97.7,5.29,,13.02,8.37,,-2.48,,E,,101434.06
WBB,06/01/2015 06:25 MDT,85007,23.8,17.65,3.24,101.9,4.7,,13.09,12.05,,-2.21,,ESE,,101436.45
WBB,06/01/2015 06:30 MDT,85007,23.78,17.34,4.11,101.1,5.39,,13.09,16.88,,-2.46,,E,,101436.45
WBB,06/01/2015 06:35 MDT,85013,23.88,17.37,3.36,107.6,5.49,,13.03,18.92,,-2.35,,ESE,,101443.61
WBB,06/01/2015 06:40 MDT,85017,23.65,17.72,3.05,112.6,4.7,,13.02,21.11,,-2.28,,ESE,,101448.38
WBB,06/01/2015 06:45 MDT,85018,23.56,18.08,3.63,114.3,5.49,,13.08,52.25,,-2.08,,ESE,,101449.57
WBB,06/01/2015 06:50 MDT,85019,23.55,18.37,4.17,122.7,6.47,,13.01,94.4,,-1.87,,ESE,,101450.77
WBB,06/01/2015 06:55 MDT,85020,23.94,17.68,3.52,118.9,5.09,,13.01,120.1,,-2.07,,ESE,,101451.96
WBB,06/01/2015 07:00 MDT,85023,24.03,18.03,3.27,123,6.66,,13.08,129.5,,-1.73,,ESE,,101455.54
WBB,06/01/2015 07:05 MDT,85028,23.96,18.56,3.64,124.5,7.55,,13.03,111.3,,-1.4,,SE,,101461.51
WBB,06/01/2015 07:10 MDT,85030,23.6,19.08,3.02,121.3,4.7,,13.08,41.25,,-1.32,,ESE,,101463.89
WBB,06/01/2015 07:15 MDT,85028,23.44,18.94,3.19,118.8,5.78,,13.07,43.07,,-1.55,,ESE,,101461.51
WBB,06/01/2015 07:20 MDT,85025,23.55,18.62,3,112.2,4.7,,13.07,27.77,,-1.69,,ESE,,101457.93
WBB,06/01/2015 07:25 MDT,85025,23.52,18.61,3.25,106.7,4.9,,13.01,46.73,,-1.72,,ESE,,101457.93
WBB,06/01/2015 07:30 MDT,85020,23.9,18.18,3.56,105.3,6.08,,13.07,196.2,,-1.72,,ESE,,101451.96
WBB,06/01/2015 07:35 MDT,85021,24.18,17.9,3.04,97.6,4.21,,13.05,98.8,,-1.7,,E,,101453.15
WBB,06/01/2015 07:40 MDT,85022,24.21,17.93,2.9,110.5,5,,12.99,153,,-1.66,,ESE,,101454.35
WBB,06/01/2015 07:45 MDT,85023,24.49,17.59,2.78,93.9,4.31,,13.07,145.9,,-1.68,,E,,101455.54
WBB,06/01/2015 07:50 MDT,85024,24.36,18.52,2.63,108.9,3.92,,12.99,256.5,,-1.09,,ESE,,101456.73
WBB,06/01/2015 07:55 MDT,85022,24.66,18.6,2.69,113,4.6,,13,289.9,,-0.79,,ESE,,101454.35
WBB,06/01/2015 08:00 MDT,85022,24.56,18.3,3.22,96.8,5.2,,13.06,145.7,,-1.09,,E,,101454.35
WBB,06/01/2015 08:05 MDT,85023,24.17,19.06,3.24,117.1,5.59,,13.06,115.3,,-0.86,,ESE,,101455.54
WBB,06/01/2015 08:10 MDT,85028,24.11,19.14,3.31,111.2,5,,13.06,93,,-0.85,,ESE,,101461.51
WBB,06/01/2015 08:15 MDT,85029,23.9,20.2,2.43,102.5,3.53,,13.06,101.3,,-0.29,,ESE,,101462.7
WBB,06/01/2015 08:20 MDT,85024,24.04,19.45,3.45,102.4,5.09,,13.05,138.7,,-0.69,,ESE,,101456.73
WBB,06/01/2015 08:25 MDT,85029,24.16,20.03,2.61,146.3,4.9,,12.99,126,,-0.19,,SSE,,101462.7
WBB,06/01/2015 08:30 MDT,85026,24.62,19.44,3.26,137.4,5.78,,13.05,340.7,,-0.22,,SE,,101459.12
WBB,06/01/2015 08:35 MDT,85029,24.89,18.88,3.25,137.8,5.68,,12.98,311.9,,-0.39,,SE,,101462.7
WBB,06/01/2015 08:40 MDT,85030,24.99,19,3.7,148,6.66,,13.04,207.1,,-0.22,,SSE,,101463.89
WBB,06/01/2015 08:45 MDT,85034,25.07,18.97,3.43,137.3,5.68,,13.04,447.2,,-0.18,,SE,,101468.66
WBB,06/01/2015 08:50 MDT,85032,25.53,19.38,3.09,132,5.09,,12.99,460.2,,0.5,,SE,,101466.28
WBB,06/01/2015 08:55 MDT,85030,25.63,19.7,2.98,142,5.59,,12.97,473.4,,0.81,,SE,,101463.89
WBB,06/01/2015 09:00 MDT,85032,25.66,19.89,3.13,142.4,5.09,,13.04,488.7,,0.97,,SE,,101466.28
WBB,06/01/2015 09:05 MDT,85035,25.72,20.22,2.97,147.9,4.6,,13.03,507.1,,1.24,,SSE,,101469.86
WBB,06/01/2015 09:10 MDT,85035,26.45,19.88,1.89,153.4,3.82,,13.03,519.4,,1.62,,SSE,,101469.86
WBB,06/01/2015 09:15 MDT,85035,26.55,20.34,2.56,154.7,4.8,,13.02,547.6,,2.02,,SSE,,101469.86
WBB,06/01/2015 09:20 MDT,85032,26.55,20.31,2.76,160.3,5.49,,12.95,562,,2,,SSE,,101466.28
WBB,06/01/2015 09:25 MDT,85030,27.02,18.29,4.46,177.5,9.41,,12.95,651.8,,0.94,,S,26.26,101463.89
WBB,06/01/2015 09:30 MDT,85025,26.68,17.69,5.98,176.3,10.09,,13.01,542.2,,0.2,,S,25.87,101457.93
WBB,06/01/2015 09:35 MDT,85030,26.47,17.29,5.95,180.3,9.6,,12.93,495.5,,-0.28,,S,,101463.89
WBB,06/01/2015 09:40 MDT,85027,26.76,16.88,5.14,173.7,9.11,,12.93,625.7,,-0.37,,S,25.93,101460.31
WBB,06/01/2015 09:45 MDT,85033,26.92,17.04,4.37,181.2,8.43,,13,577.4,,-0.11,,S,26.11,101467.47
WBB,06/01/2015 09:50 MDT,85033,26.76,16.8,5.41,172.6,8.72,,12.92,640.2,,-0.44,,S,25.93,101467.47
WBB,06/01/2015 09:55 MDT,85034,26.84,16.37,5.05,175.6,9.7,,12.94,697.1,,-0.73,,S,26.01,101468.66
WBB,06/01/2015 10:00 MDT,85032,26.78,16.41,7.07,179.9,10.88,,13,690.5,,-0.74,,S,25.94,101466.28
WBB,06/01/2015 10:05 MDT,85035,26.83,16.48,5.42,177.5,9.9,,12.92,693.4,,-0.64,,S,26,101469.86
WBB,06/01/2015 10:10 MDT,85036,27.23,16.28,4.86,176.5,9.21,,12.92,686,,-0.48,,S,26.43,101471.05
WBB,06/01/2015 10:15 MDT,85035,27.15,16.36,4.14,167.9,6.96,,12.94,698.2,,-0.48,,SSE,26.35,101469.86
WBB,06/01/2015 10:20 MDT,85038,27.46,16.19,3.79,166.3,6.47,,12.91,713.8,,-0.37,,SSE,26.29,101473.44
WBB,06/01/2015 10:25 MDT,85039,27.75,16.24,2.66,156.6,6.37,,12.91,723.2,,-0.09,,SSE,26.49,101474.63
WBB,06/01/2015 10:30 MDT,85036,28.35,15.5,4.15,178,9.11,,12.98,733.2,,-0.24,,S,26.9,101471.05
WBB,06/01/2015 10:35 MDT,85033,27.76,14.91,5.03,170.9,9.01,,12.98,742.3,,-1.24,,S,26.48,101467.47
WBB,06/01/2015 10:40 MDT,85025,27.59,14.72,5.67,167.2,10.19,,12.97,751.5,,-1.55,,SSE,26.36,101457.93
WBB,06/01/2015 10:45 MDT,85030,27.62,14.74,5.85,181.6,10.19,,12.97,762.4,,-1.51,,S,26.38,101463.89
WBB,06/01/2015 10:50 MDT,85026,27.52,14.49,6.69,183.5,12.25,,12.88,780.2,,-1.82,,S,26.3,101459.12
WBB,06/01/2015 10:55 MDT,85020,27.26,14.67,8.05,182.8,12.44,,12.91,806,,-1.86,21.51,S,26.42,101451.96
WBB,06/01/2015 11:00 MDT,85018,27.41,14.8,6.29,177,10.58,,12.97,833,,-1.62,,S,26.59,101449.57
WBB,06/01/2015 11:05 MDT,85011,27.85,14.8,5.64,169.6,9.7,,12.91,830,,-1.27,,S,26.54,101441.22
WBB,06/01/2015 11:10 MDT,85005,27.9,14.85,6.38,173.2,10.29,,12.97,875,,-1.18,,S,26.57,101434.06
WBB,06/01/2015 11:15 MDT,85001,27.73,15.05,6.47,162.9,10.29,,12.96,895,,-1.14,,SSE,26.46,101429.29
WBB,06/01/2015 11:20 MDT,85006,28,15.1,6.51,163.9,11.07,,12.88,953,,-0.88,,SSE,26.65,101435.25
WBB,06/01/2015 11:25 MDT,85005,27.54,15.64,6.8,173.2,9.7,,12.89,498.6,,-0.77,,S,26.34,101434.06
WBB,06/01/2015 11:30 MDT,85011,27.75,15.83,3.66,180,9.11,,12.96,567.6,,-0.44,,S,26.49,101441.22
WBB,06/01/2015 11:35 MDT,85009,27.45,15.81,5.55,181.9,10.48,,12.96,577.5,,-0.7,,S,26.66,101438.83
WBB,06/01/2015 11:40 MDT,85014,27.95,15.78,4.18,191.2,7.94,,12.91,813,,-0.32,,S,26.62,101444.8
WBB,06/01/2015 11:45 MDT,85002,27.86,16.13,6.33,172.2,11.95,,12.96,673.7,,-0.09,,S,26.57,101430.48
WBB,06/01/2015 11:50 MDT,85001,27.72,16.23,4.73,184.2,8.72,,12.9,603,,-0.12,,S,26.47,101429.29
WBB,06/01/2015 11:55 MDT,85000,27.58,16.39,6.32,190.7,10.48,,12.91,694.9,,-0.1,,S,26.38,101428.09
WBB,06/01/2015 12:00 MDT,84995,28,16.49,4.9,166.8,9.8,,12.95,942,,0.32,,SSE,26.67,101422.13
WBB,06/01/2015 12:05 MDT,84981,28.1,16.14,6.69,167.9,13.13,,12.89,916,,0.11,,SSE,26.73,101405.42
WBB,06/01/2015 12:10 MDT,84986,27.88,16.19,6.86,180.1,10.29,,12.89,909,,-0.03,,S,26.58,101411.39
WBB,06/01/2015 12:15 MDT,84983,28.27,15.61,5.29,193.9,12.05,,12.95,913,,-0.21,,SSW,26.85,101407.81
WBB,06/01/2015 12:20 MDT,84973,27.94,15.47,7.21,194.7,14.5,,12.95,928,,-0.6,,SSW,26.61,101395.88
WBB,06/01/2015 12:25 MDT,84965,28.19,15.21,7.05,173.6,11.76,,12.9,923,,-0.62,,S,26.78,101386.33
WBB,06/01/2015 12:30 MDT,84968,28.42,14.92,6.4,187.3,13.13,,12.95,931,,-0.7,,S,26.95,101389.91
WBB,06/01/2015 12:35 MDT,84958,28.31,15.14,6.73,185,11.66,,12.87,880,,-0.59,,S,26.87,101377.98
WBB,06/01/2015 12:40 MDT,84955,28.36,15.36,6.51,193.1,12.35,,12.88,958,,-0.35,,SSW,26.91,101374.4
WBB,06/01/2015 12:45 MDT,84950,28.27,14.54,6.4,205.7,10.78,,12.95,859,,-1.17,,SSW,26.83,101368.43
WBB,06/01/2015 12:50 MDT,84944,28.11,14.37,5.93,200.8,10.09,,12.95,762.4,,-1.46,,SSW,26.72,101361.27
WBB,06/01/2015 12:55 MDT,84941,28.3,14.8,6.25,193.1,9.41,,12.87,747.5,,-0.9,,SSW,26.86,101357.69
WBB,06/01/2015 13:00 MDT,84935,28.48,14.94,6.71,178.3,13.33,,12.94,557.5,,-0.63,,S,26.99,101350.53
WBB,06/01/2015 13:05 MDT,84929,28.06,15.11,6.22,162.7,11.07,,12.87,419.5,,-0.82,,SSE,26.69,101343.37
WBB,06/01/2015 13:10 MDT,84928,27.96,15.41,4.42,165.9,7.94,,12.95,589.4,,-0.63,,SSE,26.62,101342.18
WBB,06/01/2015 13:15 MDT,84925,28.91,15.21,3.75,182.7,7.55,,12.95,904,,-0.04,,S,27.31,101338.6
WBB,06/01/2015 13:20 MDT,84906,29.25,14.27,7.28,162.3,15.09,,12.95,977,,-0.63,,SSE,27.56,101315.93
WBB,06/01/2015 13:25 MDT,84911,29.41,13.13,4.98,173.2,11.56,,12.88,998,,-1.63,,S,27.67,101321.89
WBB,06/01/2015 13:30 MDT,84895,29.57,12.84,7.08,181.3,12.05,,12.94,968,,-1.8,,S,27.78,101302.8
WBB,06/01/2015 13:35 MDT,84892,29.52,13.3,4.75,188.2,9.21,,12.86,716.8,,-1.37,,S,27.76,101299.22
WBB,06/01/2015 13:40 MDT,84889,29.32,12.48,7.16,209.6,14.4,,12.88,442.3,,-2.38,,SSW,27.56,101295.64
WBB,06/01/2015 13:45 MDT,84892,28.97,12.67,5.24,206.2,9.7,,12.94,641,,-2.45,,SSW,27.31,101299.22
WBB,06/01/2015 13:50 MDT,84885,29.1,12.19,6.7,204.6,11.37,,12.87,478.7,,-2.86,,SSW,27.37,101290.87
WBB,06/01/2015 13:55 MDT,84874,28.97,12.26,8.23,204.8,15.68,,12.85,948,,-2.89,23.41,SSW,27.28,101277.74
WBB,06/01/2015 14:00 MDT,84876,29.37,12.21,6.98,205.1,13.62,,12.94,902,,-2.63,,SSW,27.57,101280.13
WBB,06/01/2015 14:05 MDT,84876,29.32,11.98,7.49,200.8,12.84,,12.89,414.4,,-2.92,,SSW,27.51,101280.13
WBB,06/01/2015 14:10 MDT,84871,29.28,12.3,5.45,193.3,10.78,,12.86,818,,-2.6,,SSW,27.51,101274.16
WBB,06/01/2015 14:15 MDT,84862,29.37,12.01,5.86,189.3,12.15,,12.93,414.5,,-2.85,,S,27.56,101263.42
WBB,06/01/2015 14:20 MDT,84854,29.28,11.78,9.34,214.6,16.95,,12.87,896,,-3.18,23.16,SW,27.47,101253.88
WBB,06/01/2015 14:25 MDT,84857,28.93,11.79,8.2,204.2,12.35,,12.87,640.6,,-3.44,23.38,SSW,27.21,101257.46
WBB,06/01/2015 14:30 MDT,84851,29.05,12.11,7.26,211.2,11.07,,12.94,769.9,,-2.99,,SSW,27.32,101250.3
WBB,06/01/2015 14:35 MDT,84850,29.56,12.43,4.94,203.1,9.21,,12.94,615,,-2.24,,SSW,27.74,101249.1
WBB,06/01/2015 14:40 MDT,84843,29.66,11.72,7.46,189.7,13.82,,12.87,815,,-2.94,,S,27.75,101240.75
WBB,06/01/2015 14:45 MDT,84836,29.76,11.41,7.02,182.7,11.95,,12.93,732.6,,-3.22,,S,27.8,101232.4
WBB,06/01/2015 14:50 MDT,84826,29.61,11.28,8.05,177.6,15.78,,12.86,752.1,,-3.49,24.27,S,27.67,101220.46
WBB,06/01/2015 14:55 MDT,84829,29.58,11.1,7.63,190.9,14.01,,12.88,849,,-3.73,,S,27.64,101224.04
WBB,06/01/2015 15:00 MDT,84821,30.04,10.89,6.41,180,14.01,,12.94,859,,-3.62,,S,27.97,101214.5
WBB,06/01/2015 15:05 MDT,84812,29.68,11.42,6.09,191,13.13,,12.85,755,,-3.27,,S,27.74,101203.76
WBB,06/01/2015 15:10 MDT,84811,30.38,11.3,5.73,205.8,11.37,,12.89,961,,-2.86,,SSW,28.27,101202.57
WBB,06/01/2015 15:15 MDT,84804,29.85,10.71,8.63,194.9,14.8,,12.94,670.3,,-3.98,24.22,SSW,27.81,101194.21
WBB,06/01/2015 15:20 MDT,84800,29.79,10.92,5.71,198.6,11.56,,12.89,862,,-3.78,,SSW,27.78,101189.44
WBB,06/01/2015 15:25 MDT,84782,30.25,11.03,5.97,194.3,12.84,,12.94,875,,-3.28,,SSW,28.14,101167.96
WBB,06/01/2015 15:30 MDT,84774,29.87,10.92,8.08,214.3,14.21,,12.85,807,,-3.71,24.56,SW,27.84,101158.41
WBB,06/01/2015 15:35 MDT,84768,30.03,10.74,6.97,204.2,12.44,,12.94,858,,-3.81,,SSW,27.95,101151.25
WBB,06/01/2015 15:40 MDT,84756,30.07,10.35,8.84,207.6,14.8,,12.93,871,,-4.26,24.36,SSW,27.94,101136.94
WBB,06/01/2015 15:45 MDT,84763,30.61,10.37,6.91,194.3,12.15,,12.93,837,,-3.82,,SSW,28.36,101145.29
WBB,06/01/2015 15:50 MDT,84751,30.35,10.07,7.47,189.8,13.33,,12.93,794.6,,-4.4,,S,28.13,101130.97
WBB,06/01/2015 15:55 MDT,84748,30.77,10.11,6.74,209.9,13.23,,12.93,776.1,,-4.02,,SSW,28.46,101127.39
WBB,06/01/2015 16:00 MDT,84745,30.37,9.94,8.09,201.4,15.48,,12.93,768.9,,-4.56,25.14,SSW,28.14,101123.81
WBB,06/01/2015 16:05 MDT,84734,30.35,9.96,8.1,195.1,12.64,,12.93,761.1,,-4.55,25.11,SSW,28.12,101110.68
WBB,06/01/2015 16:10 MDT,84730,30.22,9.18,9.66,213.2,15.97,,12.86,747.9,,-5.7,24.11,SSW,27.96,101105.91
WBB,06/01/2015 16:15 MDT,84726,30.19,9.55,7.53,196.9,12.54,,12.93,729.8,,-5.22,,SSW,27.97,101101.14
WBB,06/01/2015 16:20 MDT,84712,30.65,10,7.97,180.4,14.7,,12.86,720.7,,-4.26,,S,28.36,101084.43
WBB,06/01/2015 16:25 MDT,84715,30.92,9.86,6.4,185.6,14.8,,12.87,715.4,,-4.24,,S,28.56,101088.01
WBB,06/01/2015 16:30 MDT,84709,30.44,9.89,9.81,186.5,15.78,,12.93,700.7,,-4.57,24.3,S,28.19,101080.85
WBB,06/01/2015 16:35 MDT,84719,30.53,9.86,7.48,191.3,17.15,,12.85,696.3,,-4.54,,SSW,28.25,101092.78
WBB,06/01/2015 16:40 MDT,84707,30.3,9.3,10.88,187.1,15.48,,12.86,680.3,,-5.48,23.62,S,28.03,101078.46
WBB,06/01/2015 16:45 MDT,84711,30.35,8.93,8.21,196.1,15.87,,12.93,675.9,,-5.96,25.04,SSW,28.04,101083.24
WBB,06/01/2015 16:50 MDT,84716,30.21,9.05,7.41,207.5,13.33,,12.93,659.8,,-5.9,,SSW,27.94,101089.2
WBB,06/01/2015 16:55 MDT,84712,30.34,9.38,6.2,195.4,12.35,,12.85,450.6,,-5.33,,SSW,28.07,101084.43
