# STATION: WBB
# STATION NAME: U of U William Browning Building
# LATITUDE: 40.76623
# LONGITUDE: -111.84755
# ELEVATION [ft]: 4806
# STATE: UT
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,altimeter_set_1d
,,Pascals,Celsius,%,Meters/second,Degrees,Meters/second,Millimeters,volts,W/m**2,Millimeters,Celsius,Celsius,Degrees,Celsius,Pascals
WBB,08/01/2015 00:00 MDT,85633.0,26.77,12.79,3.27,51.88,4.41,,13.02,0.0,,-4.08,,NE,25.84,102183.43
WBB,08/01/2015 00:05 MDT,85638.0,26.56,13.24,2.23,51.85,3.53,,13.01,0.0,,-3.79,,NE,,102189.4
WBB,08/01/2015 00:10 MDT,85642.0,26.37,13.59,1.48,59.92,2.16,,12.97,0.0,,-3.6,,ENE,,102194.17
WBB,08/01/2015 00:15 MDT,85635.0,26.21,13.82,2.53,55.03,3.63,,13.02,0.0,,-3.51,,NE,,102185.82
WBB,08/01/2015 00:20 MDT,85633.0,26.74,13.13,3.43,59.66,4.12,,12.94,0.0,,-3.76,,ENE,25.81,102183.43
WBB,08/01/2015 00:25 MDT,85636.0,27.15,12.73,3.46,53.6,4.31,,12.95,0.0,,-3.84,,NE,26.25,102187.01
WBB,08/01/2015 00:30 MDT,85640.0,27.03,12.56,3.76,45.86,5.0,,13.02,0.0,,-4.11,,NE,26.12,102191.79
WBB,08/01/2015 00:35 MDT,85639.0,27.2,12.33,4.14,46.1,5.29,,12.95,0.0,,-4.22,,NE,26.3,102190.59
WBB,08/01/2015 00:40 MDT,85639.0,26.59,13.12,4.18,49.26,5.2,,12.95,0.0,,-3.89,,NE,,102190.59
WBB,08/01/2015 00:45 MDT,85641.0,26.11,13.78,3.14,51.49,4.7,,12.96,0.0,,-3.62,,NE,,102192.98
WBB,08/01/2015 00:50 MDT,85635.0,25.81,13.88,3.8,42.47,5.59,,12.95,0.0,,-3.77,,NE,,102185.82
WBB,08/01/2015 00:55 MDT,85642.0,25.83,13.99,2.48,32.49,4.02,,13.02,0.0,,-3.65,,NNE,,102194.17
WBB,08/01/2015 01:00 MDT,85644.0,25.58,14.58,1.13,18.14,3.82,,13.02,0.0,,-3.3,,NNE,,102196.56
WBB,08/01/2015 01:05 MDT,85646.0,25.39,15.13,1.31,307.2,2.55,,13.03,0.0,,-2.96,,NW,,102198.95
WBB,08/01/2015 01:10 MDT,85647.0,25.61,14.29,0.84,318.9,2.55,,13.03,0.0,,-3.55,,NW,,102200.14
WBB,08/01/2015 01:15 MDT,85645.0,25.74,14.17,0.83,9.68,2.35,,12.98,0.0,,-3.55,,N,,102197.75
WBB,08/01/2015 01:20 MDT,85644.0,25.86,13.52,1.5,66.16,2.45,,12.96,0.0,,-4.08,,ENE,,102196.56
WBB,08/01/2015 01:25 MDT,85638.0,25.89,14.06,1.66,63.25,2.84,,12.95,0.0,,-3.53,,ENE,,102189.4
WBB,08/01/2015 01:30 MDT,85634.0,25.57,14.75,2.4,61.5,4.12,,13.03,0.0,,-3.16,,ENE,,102184.63
WBB,08/01/2015 01:35 MDT,85631.0,25.78,14.45,2.77,46.91,4.8,,12.95,0.0,,-3.26,,NE,,102181.05
WBB,08/01/2015 01:40 MDT,85622.0,25.29,16.77,2.74,63.83,3.33,,13.01,0.0,,-1.67,,ENE,,102170.31
WBB,08/01/2015 01:45 MDT,85621.0,25.08,16.37,1.79,85.6,2.74,,13.03,0.0,,-2.16,,E,,102169.12
WBB,08/01/2015 01:50 MDT,85617.0,25.34,15.65,1.34,50.65,2.06,,13.03,0.0,,-2.55,,NE,,102164.34
WBB,08/01/2015 01:55 MDT,85610.0,25.66,14.94,2.11,56.41,2.74,,12.98,0.0,,-2.91,,ENE,,102155.99
WBB,08/01/2015 02:00 MDT,85609.0,25.64,15.03,2.29,65.4,3.23,,13.04,0.0,,-2.85,,ENE,,102154.8
WBB,08/01/2015 02:05 MDT,85609.0,25.46,15.66,1.72,50.97,2.45,,13.04,0.0,,-2.45,,NE,,102154.8
WBB,08/01/2015 02:10 MDT,85609.0,25.94,14.49,2.28,52.97,3.13,,12.97,0.0,,-3.09,,NE,,102154.8
WBB,08/01/2015 02:15 MDT,85609.0,25.95,14.86,1.45,59.49,3.13,,13.04,0.0,,-2.75,,ENE,,102154.8
WBB,08/01/2015 02:20 MDT,85605.0,25.2,16.54,1.32,71.61,2.06,,13.04,0.0,,-1.93,,ENE,,102150.02
WBB,08/01/2015 02:25 MDT,85595.0,25.35,15.71,1.91,38.41,4.51,,13.04,0.0,,-2.5,,NE,,102138.09
WBB,08/01/2015 02:30 MDT,85591.0,25.47,15.87,3.24,27.34,5.0,,13.04,0.0,,-2.26,,NNE,,102133.32
WBB,08/01/2015 02:35 MDT,85586.0,25.14,16.64,2.57,41.61,4.12,,12.97,0.0,,-1.9,,NE,,102127.35
WBB,08/01/2015 02:40 MDT,85587.0,25.0,17.12,2.02,48.44,3.53,,12.98,0.0,,-1.63,,NE,,102128.54
WBB,08/01/2015 02:45 MDT,85582.0,24.9,17.3,2.13,42.61,3.04,,13.04,0.0,,-1.57,,NE,,102122.58
WBB,08/01/2015 02:50 MDT,85582.0,24.84,17.55,2.14,48.7,3.33,,12.97,0.0,,-1.42,,NE,,102122.58
WBB,08/01/2015 02:55 MDT,85575.0,24.81,17.72,1.11,136.1,1.96,,12.99,0.0,,-1.32,,SE,,102114.22
